Expected,ExpectedReRef,Nation
아프가니스탄,(Afghanistan),1
알바니아,(Albania),1
알제리,(Algeria),1
안도라,(Andorra),1
앙골라,(Angola),1
안티과 바부다,(Antigua and Barbuda),1
아르헨티나,(Argentina),1
아르메니아,(Armenia),1
오스트레일리아,(Australia),1
오스트리아,(Austria),1
아제르바이잔,(Azerbaijan),1
바하마,(Bahamas|The Bahamas),1
바레인,(Bahrain),1
방글라데시,(Bangladesh),1
바베이도스,(Barbados),1
벨라루스,(Belarus),1
벨기에,(Belgium),1
벨리즈,(Belize),1
베냉,(Benin),1
부탄,(Bhutan),1
볼리비아,(Bolivia),1
보스니아 헤르체고비나,(Bosnia and Herzegovina),1
보츠와나,(Botswana),1
브라질,(Brazil),1
불가리아,(Bulgaria),1
부르키나 파소,(Burkina Faso),1
미얀마,(Burma|버마|Myanmar),1
부룬디,(Burundi),1
캄보디아,(Cambodia),1
카메룬,(Cameroon),1
캐나다,(Canada),1
중앙 아프리카 공화국,(Central African Republic),1
차드,(Chad),1
칠레,(Chile),1
중국,(China),1
콜롬비아,(Colombia),1
콩고,(CongoKinshasa|키나사사),1
콩고 민주 공화국,(CongoBrazzaville),1
쿡 제도,(Cook Islands),1
코스타리카,(Costa Rica),1
크로아티아,(Croatia),1
쿠바,(Cuba|큐바),1
키프로스,(Cyprus),1
체코 공화국,(Czech Republic),1
덴마크,(Denmark),1
지부티,(Djibouti),1
도미니카 공화국,(Dominican Republic),1
도미니카 연방,(Dominica),1
동티모르,(East Timor),1
에콰도르,(Ecuador),1
이집트,(Egypt),1
엘살바도르,(El Salvador),1
기니,(Equatorial Guinea),1
에리트레아,(Eritrea),1
에스토니아,(Estonia),1
에스와티니,(Eswatini - formerly Swaziland|스와질란드),1
에티오피아,(Ethiopia),1
피지,(Fiji),1
핀란드,(Finland),1
프랑스,(France),1
가봉,(Gabon),1
감비아,(Gambia),1
조지아,(Georgia),1
독일,(Germany),1
가나,(Ghana),1
그리스,(Greece),1
그레나다,(Grenada),1
과테말라,(Guatemala),1
기니,(Guinea),1
기니 비사우,(Guinea-Bissau),1
가이아나,(Guyana),1
아이티,(Haiti),1
온두라스,(Honduras),1
헝가리,(Hungary),1
아이슬란드,(Iceland),1
인도,(India),1
인도네시아,(Indonesia),1
이란,(Iran),1
이라크,(Iraq),1
아일랜드,(Ireland),1
이스라엘,(Israel),1
이탈리아,(Italy),1
자메이카,(Jamaica),1
일본,(Japan),1
요르단,(Jordan),1
카자흐스탄,(Kazakhstan),1
케냐,(Kenya),1
키리바시,(Kiribati),1
코소보,(Kosovo),1
쿠웨이트,(Kuwait),1
라오스,(Laos),1
라트비아,(Latvia),1
레바논,(Lebanon),1
레소토,(Lesotho),1
리베리아,(Liberia),1
리비아,(Libya),1
라이히텐슈타인,(Liechtenstein),1
리투아니아,(Lithuania),1
룩셈부르크,(Luxembourg),1
마다가스카르,(Madagascar),1
말라위,(Malawi),1
말레이시아,(Malaysia),1
몰디브,(Maldives),1
말리,(Mali),1
몰타,(Malta),1
마셜 제도,(Marshall Islands),1
모리타니아,(Mauritania),1
모리셔스,(Mauritius),1
멕시코,(Mexico),1
미크로네시아,(Micronesia),1
몰도바,(Moldova),1
모나코,(Monaco),1
몽골,(Mongolia|몽고),1
몬테네그로,(Montenegro),1
모로코,(Morocco),1
모잠비크,(Mozambique),1
남아프리카 공화국,(South Africa),1
남수단,(South Sudan),1
나우루,(Nauru),1
네팔,(Nepal),1
네덜란드,(Netherlands),1
뉴질랜드,(New Zealand),1
니카라과,(Nicaragua),1
니제르,(Niger),1
나이지리아,(Nigeria),1
북한,(North Korea),1
북마케도니아,(North Macedonia),1
노르웨이,(Norway),1
오만,(Oman),1
파키스탄,(Pakistan),1
팔라우,(Palau),1
파레스타인,(Palestine),1
판라마,(Panama),1
파푸아 뉴기니,(Papua New Guinea),1
파라과이,(Paraguay),1
페루,(Peru),1
필리핀,(Philippines|Philippine),1
폴란드,(Poland),1
포르투갈,(Portugal),1
카타르,(Qatar),1
남수단,(South Sudan),1
루마니아,(Romania),1
러시아,(Russia),1
루완다,(Rwanda),1
세인트 키츠 네비스,(Saint Kitts and Nevis),1
세인트 루시아,(Saint Lucia),1
세인트 빈센트 그레나딘,(Saint Vincent and the Grenadines),1
사모아,(Samoa),1
산마리노,(San Marino),1
상투메 프린시페,(Sao Tome and Principe),1
사우디 아라비아,(Saudi Arabia),1
세네갈,(Senegal),1
세르비아,(Serbia),1
세이셸,(Seychelles),1
시에라 리온,(Sierra Leone),1
싱가포르,(Singapore),1
슬로바키아,(Slovakia),1
슬로베니아,(Slovenia),1
솔로몬 제도,(Solomon Islands),1
소말리아,(Somalia),1
남아프리카 공화국,(South Africa),1
한국,(South Korea|대한민국),1
남수단,(South Sudan),1
스페인,(Spain),1
스리랑카,(Sri Lanka|쓰리랑카),1
수단,(Sudan),1
수리남,(Suriname),1
스웨덴,(Sweden),1
스위스,(Switzerland),1
시리아,(Syria),1
타이완,(Taiwan),1
타지키스탄,(Tajikistan),1
탄자니아,(Tanzania),1
태국,(Thailand),1
티모르,(Timor-Leste),1
토고,(Togo),1
통가,(Tonga),1
트리니다드와 토바고,(Trinidad and Tobago),1
튀니지,(Tunisia),1
튀르키에,(Türkiye|Turkye|터키),1
투르크메니스탄,(Turkmenistan),1
우간다,(Uganda),1
우크라이나,(Ukraine),1
아랍 에미리트,(United Arab Emirates|아랍에미레이트),1
영국,(United Kingdom),1
미국,(United States|USA|America),1
우루과이,(Uruguay),1
우즈베키스탄,(Uzbekistan),1
바누아투,(Vanuatu),1
베네수엘라,(Venezuela),1
베트남,(Vietnam),1
예멘,(Yemen),1
잠비아,(Zambia),1
짐바브웨,(Zimbabwe),1
남수단,(South Sudan),1
